Added 	 增加
Deleted 	 删除
Modified 	 修改
\.\.\. and ([,0-9]+) more\.	 ... 其他$1项目
$1000	¥30000
% of audit items fail	%审计项目失败
% of requests time out	%请求超时
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?(HTML|script|XML|CSS|flash) content(.*)	$1隐藏$2$3$4$5$6内容$7
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?flash and general binary content(.*)	$1隐藏$2$3$4$5flash和一般二进制内容$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?general binary content(.*)	$1隐藏$2$3$4$5一般二进制内容$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?general text and flash content(.*)	$1隐藏$2$3$4$5一般文本和flash内容$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?general text and image content(.*)	$1隐藏$2$3$4$5一般文本和图像内容$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?general text content(.*)	$1隐藏$2$3$4$5一般文本内容$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?general text(, flash)? and general binary content(.*)	$1隐藏$2$3$4$5一般文本$6和一般二进制内容$7
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?general text, image and flash content(.*)	$1隐藏$2$3$4$5一般文本，图片和flash内容$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?general text, image(, flash)? and general binary content(.*)	$1隐藏$2$3$4$5一般文本，图片$6和一般二进制内容$7
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?image and flash content(.*)	$1隐藏$2$3$4$5图片和flash内容$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?image content(.*)	$1隐藏$2$3$4$5图片内容$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?image(, flash)? and general binary content(.*)	$1隐藏$2$3$4$5图片$6和一般二进制内容$7
(.*)[Hh]iding (HTML|script|XML|CSS)(, script)?(, XML)?(, CSS)? and (script|XML|CSS|flash) content(.*)	$1隐藏$2$3$4$5和$6内容7
(.*)[Hh]iding (HTML|script|XML|CSS)(, script)?(, XML)?(, CSS)? and general binary content(.*)	$1隐藏$2$3$4$5和一般二进制内容$6
(.*)[Hh]iding (HTML|script|XML|CSS)(, script)?(, XML)?(, CSS)? and general text content(.*)	$1隐藏$2$3$4$5和一般文本内容$6
(.*)[Hh]iding (HTML|script|XML|CSS)(, script)?(, XML)?(, CSS)? and image content(.*)	$1隐藏$2$3$4$5和图片内容$6
(.*)[Hh]iding ([2-5]xx) responses(.*)	$1$2隐藏响应$3
(.*)[Hh]iding ([2-5]xx, )?([2-5]xx, )?((, )?[2-5]xx) and ([2-5]xx) responses(.*)	$1隐藏$2$3$4$5和$6响应$7
(.*)[Hh]iding empty folders(.*)	$1隐藏空文件夹$2
(.*)[Hh]iding incoming items(.*)	$1隐藏已接收项目$2
(.*)[Hh]iding non-parameterized and not found items(.*)	$1隐藏无参数和不存在的项目$2
(.*)[Hh]iding non-parameterized items(.*)	$1隐藏无参数项目$2
(.*)[Hh]iding not found items(.*)	$1隐藏不存在的项目$2
(.*)[Hh]iding out of scope and incoming items(.*)	$1隐藏超出范围的已接收项目$2
(.*)[Hh]iding out of scope and non-parameterized items(.*)	$1隐藏超出范围的无参数项目$2
(.*)[Hh]iding out of scope and not found items(.*)	$隐藏超出范围的不存在项目$2
(.*)[Hh]iding out of scope and outgoing items(.*)	$隐藏超出范围的已发送项目$2
(.*)[Hh]iding out of scope and unrequested items(.*)	$隐藏超出范围的无请求项目$2
(.*)[Hh]iding out of scope and unresponded items(.*)	$1隐藏超出范围的无响应项目$2
(.*)[Hh]iding out of scope items(.*)	$1隐藏超出范围的项目$2
(.*)[Hh]iding out of scope, non-parameterized and not found items(.*)	$1隐藏超出范围、无参数及不存在的项目$2
(.*)[Hh]iding out of scope, outgoing and incoming items(.*)	$隐藏超出范围、已接收及已发送的项目$2
(.*)[Hh]iding out of scope, unrequested and non-parameterized items(.*)	$1隐藏超出范围、无请求及无参数的项目$2
(.*)[Hh]iding out of scope, unrequested and not found items(.*)	$1隐藏超出范围、无请求及不存在的项目$2
(.*)[Hh]iding out of scope, unrequested, non-parameterized and not found items(.*)	$1隐藏超出范围、无请求、无参数及不存在的项目$2
(.*)[Hh]iding out of scope, unresponded and non-parameterized items(.*)	$1隐藏超出范围、无响应及无参数的项目$2
(.*)[Hh]iding outgoing and incoming items(.*)	$1隐藏已发送和已接收的项目$2
(.*)[Hh]iding outgoing items(.*)	$1隐藏已发送的项目$2
(.*)[Hh]iding specific extensions(.*)	$1隐藏指定的扩展名$2
(.*)[Hh]iding unrequested and non-parameterized items(.*)	$1隐藏无请求及无参数的项目$2
(.*)[Hh]iding unrequested and not found items(.*)	$1隐藏无请求及不存在的项目$2
(.*)[Hh]iding unrequested items(.*)	$1隐藏无请求的项目$2
(.*)[Hh]iding unrequested, non-parameterized and not found items(.*)	$1隐藏无请求、无参数及不存在的项目$2
(.*)[Hh]iding unresponded and non-parameterized items(.*)	$1隐藏无响应及无参数项目$2
(.*)[Hh]iding unresponded items(.*)	$1隐藏无响应项目$2
(.*)[Mm]atching expression (.*)	$1匹配表达式 $2
(.*)[Mm]atching regex (.*)	$1匹配正则 $2
